"Sample","File","Title","PathRefs","ObjectNames","Missing","HasShortNames","Directory"
"Sample-158","Sample-158.json","Compare two objects for differences","diff","d","diff","True","compare"
"Sample-159","Sample-159.json","Compare arrays for changes","changes","d","changes","True","compare"
"Sample-160","Sample-160.json","Compare nested objects","delta","d","delta","True","compare"
"Sample-161","Sample-161.json","Compare with ignore option","result","d","result","True","compare"
"Sample-162","Sample-162.json","Compare configuration versions","configDiff","d","configDiff","True","compare"
"Sample-133","Sample-133.json","Flatten nested object to flat structure","","d","","True","flatten"
"Sample-134","Sample-134.json","Flatten with custom delimiter","","d","","True","flatten"
"Sample-135","Sample-135.json","Flatten specific path only","company","c","company","True","flatten"
"Sample-136","Sample-136.json","Flatten array elements","items","i","items","True","flatten"
"Sample-137","Sample-137.json","Flatten deeply nested config","","d","","True","flatten"
"Sample-153","Sample-153.json","IfElse based on value check","user","data","user","False","ifElse"
"Sample-154","Sample-154.json","IfElse for discount calculation","order","o","order","True","ifElse"
"Sample-155","Sample-155.json","IfElse for status assignment","account","a","account","True","ifElse"
"Sample-156","Sample-156.json","IfElse with string condition","product","p","product","True","ifElse"
"Sample-157","Sample-157.json","IfElse for access control","user","u","user","True","ifElse"
"Sample-138","Sample-138.json","Resolve references in object","productId","p","productId","True","resolve"
"Sample-139","Sample-139.json","Resolve multiple references","","d","","True","resolve"
"Sample-140","Sample-140.json","Resolve with external lookup","order","o","order","True","resolve"
"Sample-141","Sample-141.json","Resolve array of references","tags","t","tags","True","resolve"
"Sample-142","Sample-142.json","Resolve nested references","project","p","project","True","resolve"
"Sample-143","Sample-143.json","Restore flattened object to nested structure","","d","","True","restore"
"Sample-144","Sample-144.json","Restore with custom delimiter","","d","","True","restore"
"Sample-145","Sample-145.json","Restore specific path only","data*","d","data*","True","restore"
"Sample-146","Sample-146.json","Restore configuration settings","","d","","True","restore"
"Sample-147","Sample-147.json","Restore API response to nested object","","d","","True","restore"
"Sample-148","Sample-148.json","Convert JSON array to CSV","csvData, users","data","csvData, users","False","toCsv"
"Sample-150","Sample-150.json","Export with header option","orders, report","data","orders, report","False","toCsv"
"Sample-151","Sample-151.json","Convert selected fields only","employeeList, employees","data","employeeList, employees","False","toCsv"
"Sample-152","Sample-152.json","Export with quotes for special characters","contacts, csv","data","contacts, csv","False","toCsv"
"Sample-118","Sample-118.json","Indirect reference to dynamic path","result","data","result","False","indirect"
"Sample-119","Sample-119.json","Indirect with computed path from data","selectedPrice","data","selectedPrice","False","indirect"
"Sample-120","Sample-120.json","Indirect for configuration lookup","dbHost","data","dbHost","False","indirect"
"Sample-121","Sample-121.json","Indirect array element access","selectedColor","data","selectedColor","False","indirect"
"Sample-122","Sample-122.json","Indirect with nested object navigation","contactEmail","data","contactEmail","False","indirect"
"Sample-178","Sample-178.json","Median - Calculate median value","medianScore","m","medianScore","True","math-ext"
"Sample-179","Sample-179.json","Median - Array median","middle","m","middle","True","math-ext"
"Sample-180","Sample-180.json","Calculate - Complex expression","total","t","total","True","math-ext"
"Sample-181","Sample-181.json","Calculate - Formula evaluation","result","r","result","True","math-ext"
"Sample-182","Sample-182.json","Sum - Total array values","totalAmount","t","totalAmount","True","math-ext"
"Sample-183","Sample-183.json","Count - Count array elements","itemCount","i","itemCount","True","math-ext"
"Sample-184","Sample-184.json","Subtract - Subtract two values","finalPrice","f","finalPrice","True","math-ext"
"Sample-185","Sample-185.json","Ceiling - Round up to integer","rounded","r","rounded","True","math-ext"
"Sample-186","Sample-186.json","Pow - Power calculation","result","r","result","True","math-ext"
"Sample-163","Sample-163.json","ScriptPath - Track array item paths","customers","c","customers","True","scriptPath"
"Sample-164","Sample-164.json","ScriptPath - Track nested object paths","order","o","order","True","scriptPath"
"Sample-165","Sample-165.json","ScriptPath - Build reference map","products","p","products","True","scriptPath"
"Sample-166","Sample-166.json","ScriptPath - Conditional logic with path","data","d","data","True","scriptPath"
"Sample-167","Sample-167.json","ScriptPath - Audit trail with paths","records","r","records","True","scriptPath"
